Fiches_Art;InnoDB;art_pvttc;double;0;;YES;;;?
Fiches_Art;InnoDB;art_cdarr;varchar(4);4;;YES;utf8_unicode_ci;;?
Fiches_Art;InnoDB;art_pvar;double;0;;YES;;;?
Fiches_Art;InnoDB;art_dec;varchar(1);1;;YES;utf8_unicode_ci;;?
Fiches_Art;InnoDB;art_stocke;tinyint(1);0;;YES;;;?
Fiches_Art;InnoDB;art_qte;double;0;;YES;;;?
Fiches_Art;InnoDB;art_dpa;double;0;;YES;;;?
Fiches_Art;InnoDB;art_dfour;varchar(8);8;;YES;utf8_unicode_ci;;?
Fiches_Art;InnoDB;art_pmp;double;0;;YES;;;?
Fiches_Art;InnoDB;art_com;double;0;;YES;;;?
Fiches_Art;InnoDB;art_stkdep;double;0;;YES;;;?
Fiches_Art;InnoDB;art_nbd;varchar(1);1;;YES;utf8_unicode_ci;;?
Fiches_Art;InnoDB;art_design2;varchar(50);50;;YES;utf8_unicode_ci;;?
Fiches_Art;InnoDB;art_ect;int(11);0;;YES;;;?
Fiches_Art;InnoDB;art_eco;double;0;;YES;;;?
Fiches_Art;InnoDB;art_pauaht;double;0;;YES;;;?
Fiches_Art;InnoDB;art_txconv;decimal(7,4);0;;YES;;;?
Fiches_Art;InnoDB;art_stkmin;double;0;;YES;;;?
Fiches_Art;InnoDB;art_stkmax;double;0;;YES;;;?
Fiches_Art;InnoDB;art_suspendu;tinyint(1);0;;YES;;;?
Fiches_Art;InnoDB;art_cpp;tinyint(1);0;;YES;;;?
Fiches_Art;InnoDB;art_copp;double;0;;YES;;;?
Fiches_Art;InnoDB;qte1;double;0;;YES;;;?
Fiches_Art;InnoDB;qte2;double;0;;YES;;;?
Fiches_Art;InnoDB;rem1;double;0;;YES;;;?
Fiches_Art;InnoDB;qte3;double;0;;YES;;;?
Fiches_Art;InnoDB;qte4;double;0;;YES;;;?
Fiches_Art;InnoDB;rem2;double;0;;YES;;;?
Fiches_Art;InnoDB;qte5;double;0;;YES;;;?
Fiches_Art;InnoDB;qte6;double;0;;YES;;;?
Fiches_Art;InnoDB;rem3;double;0;;YES;;;?
Fiches_Art;InnoDB;qte7;double;0;;YES;;;?
Fiches_Art;InnoDB;qte8;double;0;;YES;;;?
Fiches_Art;InnoDB;rem4;double;0;;YES;;;?
Fiches_Art;InnoDB;qte9;double;0;;YES;;;?
Fiches_Art;InnoDB;qte10;double;0;;YES;;;?
Fiches_Art;InnoDB;rem5;double;0;;YES;;;?
Fiches_Art;InnoDB;qte11;double;0;;YES;;;?
Fiches_Art;InnoDB;qte12;double;0;;YES;;;?
Fiches_Art;InnoDB;rem6;double;0;;YES;;;?
Fiches_Art;InnoDB;art_frais;double;0;;YES;;;?
Fiches_Art;InnoDB;art_prvt;decimal(12,3);0;;YES;;;?
Fiches_Art;InnoDB;art_etiq;tinyint(1);0;;YES;;;?
Fiches_Art;InnoDB;art_poids;decimal(11,3);0;;YES;;;?
Fiches_Art;InnoDB;art_mincom;varchar(12);12;;YES;utf8_unicode_ci;;?
Fiches_Art;InnoDB;art_vol;char(5);5;;YES;utf8_unicode_ci;;?
Fiches_Art;InnoDB;art_poids2;decimal(11,3);0;;YES;;;?
Fiches_Art;InnoDB;art_photo;text;0;;YES;utf8_unicode_ci;;?
Fiches_Art;InnoDB;art_crst;mediumtext;0;;YES;utf8_unicode_ci;;?
Fiches_Art;InnoDB;art_mat;tinyint(1);0;;YES;;;?
Fiches_Art;InnoDB;art_marque;varchar(20);20;;YES;utf8_unicode_ci;;?
Fiches_Art;InnoDB;art_impcar;tinyint(1);0;;YES;;;?
Fiches_Art;InnoDB;art_casier;char(5);5;;YES;utf8_unicode_ci;MUL;?
Fiches_Art;InnoDB;art_pvcons;decimal(12,3);0;;YES;;;?
Fiches_Art;InnoDB;art_prdcomp;tinyint(1);0;;YES;;;?
Fiches_Art;InnoDB;art_impdetail;tinyint(1);0;;YES;;;?
Fiches_Art;InnoDB;art_remcas1;decimal(5,2);0;;YES;;;?
Fiches_Art;InnoDB;art_remcas2;decimal(5,2);0;;YES;;;?
Fiches_Art;InnoDB;art_remcas3;decimal(5,2);0;;YES;;;?
Fiches_Art;InnoDB;art_datefbt;date;0;;YES;;;?
Fiches_Art;InnoDB;art_pbfbt;decimal(12,3);0;;YES;;;?
Fiches_Art;InnoDB;art_ddatefbt;date;0;;YES;;;?
Fiches_Art;InnoDB;art_centrale;char(2);2;;YES;utf8_unicode_ci;;?
Fiches_Art;InnoDB;art_refcentrale;char(13);13;;YES;utf8_unicode_ci;MUL;?
Fiches_Art;InnoDB;art_bonus;decimal(5,2);0;;YES;;;?
Fiches_Art;InnoDB;art_colvte;decimal(12,3);0;;YES;;;?
Fiches_Art;InnoDB;art_pvht2;decimal(12,3);0;;YES;;;?
Fiches_Art;InnoDB;art_cn8;char(12);12;;YES;utf8_unicode_ci;MUL;?
Fiches_Art;InnoDB;art_crpl1;char(15);15;;YES;utf8_unicode_ci;;?
Fiches_Art;InnoDB;art_crpl2;char(15);15;;YES;utf8_unicode_ci;;?
Fiches_Art;InnoDB;art_ect2;tinyint(1);0;;YES;;;?
Fiches_Art;InnoDB;art_eco2;decimal(6,3);0;;YES;;;?
Fiches_Art;InnoDB;art_depg;tinyint(4);0;;YES;;;?
Fiches_Art;InnoDB;art_cnsg;tinyint(4);0;;YES;;;?
Fiches_Art;InnoDB;art_ua;char(5);5;;YES;utf8_unicode_ci;;?
Fiches_Art;InnoDB;art_uv;char(5);5;;YES;utf8_unicode_ci;;?
Fiches_Art;InnoDB;art_refliee;char(15);15;;YES;utf8_unicode_ci;;?
Fiches_Art;InnoDB;art_ddate;datetime;0;;YES;;;?
Fiches_Art;InnoDB;art_cdate;datetime;0;;YES;;;?
Fiches_Art;InnoDB;export;tinyint(4);0;0;YES;;;?
Fiches_Art;InnoDB;art_bredu;tinyint(4);0;0;YES;;;?
Fiches_Art;InnoDB;art_bredudate;date;0;;YES;;;?
Fiches_Art;InnoDB;art_breducond;text;0;;YES;utf8_unicode_ci;;?
